title	album	min	sec	energy	plays	tuning	role
Raha Seina Sees	Tee	4	10	3	1134	Drop D	Anthem
Narr	Tee	4	35	5	582	Standard	Breather
Vedur	Tee	4	9	8	4098	Standard	Opener
Olla või Minna	Tee	3	50	3	764	Standard	Breather
Kodukäija	Tee	3	24	7	5552	Standard	Anthem
Paanika	Tee	4	27	9	397	Drop D	Closer
Kordan Kordan Korrutan	Tee	4	38	6	296	Standard	Anthem
Maasikas	Tee	4	3	6	1369	Standard	Anthem
Kuhu	Tee	3	0	5	5589	Standard	Anthem
Äratus	Tee	3	41	9	275	Drop D	Anthem
Ajupesumasin	Tee	3	31	9	3791	Drop D	Anthem
Peremees	Tee	2	59	9	1786	Drop D	Opener
Tee	Tee	8	39	6	312	Standard	Closer
Probleemid ja Pelmeenid	Tee	3	26	6	5663	Standard	Anthem
Suured Mootorid	Loodan, et Sul Pole Paha Meel	3	40	5	6857	Standard	Opener
Varjude Mäng	Loodan, et Sul Pole Paha Meel	4	38	7	5846	Standard	Opener
Apokalüpsilehmad	Loodan, et Sul Pole Paha Meel	3	35	8	4030	Standard	Encore
Voolukaamel	Loodan, et Sul Pole Paha Meel	3	21	2	3478	Standard	Filler
Tõmbame Sae Käima	Loodan, et Sul Pole Paha Meel	3	55	6	6857	Standard	Closer
Põrgurattur	Loodan, et Sul Pole Paha Meel	3	3	5	5800	Standard	Encore
Kiirus	Loodan, et Sul Pole Paha Meel	3	7	5	3061	Standard	Filler
Haige	Loodan, et Sul Pole Paha Meel	3	14	3	10384	Standard	Anthem
Kondibluus	Loodan, et Sul Pole Paha Meel	3	52	1	5820	Standard	Filler
Hevikopter	Loodan, et Sul Pole Paha Meel	3	51	8	3904	Drop D	Filler
Magmapagan	Loodan, et Sul Pole Paha Meel	3	56	4	2255	Standard	Filler
